Dates,BAVA DC Equity,BO DC Equity,COLUM DC Equity,DNORD DC Equity,HART DC Equity,HOEJA DC Equity,HOEJB DC Equity,IC DC Equity,JUTBK DC Equity,MATAS DC Equity,NNIT DC Equity,ORPHA DC Equity,PAALB DC Equity,SAS DC Equity,SOLARB DC Equity,SPG DC Equity,SPKSJF DC Equity,TIV DC Equity,TRMDA DC Equity,UIE DC Equity,VELO DC Equity,VJBA DC Equity,ZEAL DC Equity,AAB DC Equity,ADMCAP B DC Equity,AGFB DC Equity,AMB DC Equity,AOJP DC Equity,ARKILB DC Equity,ATHENA DC Equity,ATLA DC Equity,BIF DC Equity,BIOPOR DC Equity,BLVISA DC Equity,BOLIGA DC Equity,BORDB DC Equity,CBRAIN DC Equity,CEMAT DC Equity,CHEMM DC Equity,CPHCAPPREF DC Equity,CPHCAPST DC Equity,DAB DC Equity,DANT DC Equity,DJUR DC Equity,DLH DC Equity,EGEB DC Equity,FED DC Equity,FFARMS DC Equity,FLUGB DC Equity,FYNBK DC Equity,GABR DC Equity,GERHSP DC Equity,GJ DC Equity,GRLA DC Equity,GYLDA DC Equity,GYLDB DC Equity,HARBB DC Equity,HH DC Equity,HVID DC Equity,IMAIL DC Equity,KLEEB DC Equity,KRE DC Equity,LASP DC Equity,LOLB DC Equity,LUXORB DC Equity,MIGAB DC Equity,MNBA DC Equity,MTB DC Equity,NEUR DC Equity,NEWCAP DC Equity,NORDIC DC Equity,NORTHM DC Equity,NRDF DC Equity,NTRB DC Equity,ONXEO DC Equity,PARKEN DC Equity,PRIMOF DC Equity,PSNRDCA DC Equity,RBLNB DC Equity,RIASB DC Equity,ROV DC Equity,RTX DC Equity,SALB DC Equity,SANI DC Equity,SBS DC Equity,SCD DC Equity,SFG DC Equity,SIF DC Equity,SKAKO DC Equity,SKJE DC Equity,SPEAS DC Equity,STRINV DC Equity,TCM DC Equity,TKDV DC Equity,TOTA DC Equity,VIPRO DC Equity
28-09-2018,169.3,148.4,16.48,97.6,353.0,106.0,97.0,62.9,195.0,62.8,178.2,70.4,243.0,15.52,402.0,239.85,100.0,642.0,38.55,1440,1.1,2.09,105.2,145.0,,0.29,62.0,349.0,,7.8,7.1,,5.87,0.369,7.05,625,37.9,0.408,72.4,1.75,3.04,5.68,,246.0,1.41,240.0,85.5,47.4,320.0,92.0,608.0,130.0,55.0,596,1250,430,80.2,117.4,57.0,,2880,2480,470.0,330.0,426.0,288.0,125.0,116.0,4.44,1.08,0.56,36.0,885,36.2,7.94,90.6,126.0,6.58,271.0,450.0,0.1155,179.6,235.0,,20.4,54.0,17.0,13.8,65.2,65.4,4620,1.16,115.4,5.75,92.0,1.435
31-08-2018,184.2,150.0,17.3,97.2,366.0,107.0,108.0,172.8,205.0,62.8,157.4,74.2,256.0,14.14,409.0,230.65,100.0,682.0,41.8,1460,1.05,2.13,92.5,145.0,,0.252,61.0,345.0,,8.16,7.4,,3.405,0.38799999999999996,7.1,655,37.8,0.42100000000000004,90.0,1.75,3.0,3.81,,247.0,1.51,234.0,86.0,51.0,334.0,92.0,578.0,130.0,60.5,598,1250,430,86.4,126.6,56.5,,2720,2520,472.0,325.0,420.0,280.0,125.0,129.0,4.55,1.23,0.5,35.5,875,36.4,8.75,90.2,135.0,6.7,268.0,450.0,0.10099999999999999,184.4,230.0,,24.6,56.0,21.8,14.1,65.2,62.6,4580,1.2,110.0,6.2,64.2,1.61
31-07-2018,194.5,154.6,15.3,117.5,371.0,107.0,89.5,165.0,206.0,51.2,165.4,69.7,227.5,12.54,402.0,250.5,101.0,666.0,49.5,1450,1.018,2.26,95.1,166.5,,0.24100000000000002,66.0,316.0,,7.62,7.25,,3.58,0.382,7.15,645,39.3,0.39299999999999996,77.4,1.77,2.74,4.17,,235.0,1.5,234.0,86.5,50.0,380.0,90.0,592.0,136.0,73.5,606,1050,446,91.2,97.4,55.5,,2740,2460,480.0,321.0,426.0,272.0,126.0,110.5,4.51,1.32,0.62,38.0,940,33.0,9.01,85.8,131.0,6.98,284.0,474.0,0.10099999999999999,196.0,229.0,,25.6,57.5,25.1,13.8,82.0,64.6,4800,1.14,97.6,6.75,49.8,1.39
29-06-2018,188.2,138.6,15.22,113.2,374.0,126.0,122.0,160.2,200.0,51.8,158.8,61.2,225.5,12.2,398.0,258.0,102.5,660.0,50.3,1475,0.9159999999999999,2.4,84.0,152.0,,0.23800000000000002,68.0,272.0,,8.88,7.4,,3.19,0.37,8.0,645,38.5,0.387,61.0,1.77,2.68,4.39,,236.0,1.515,228.0,86.0,51.5,366.0,89.0,600.0,125.0,75.5,602,940,444,85.6,101.0,57.0,,2680,2480,484.0,326.0,414.0,282.0,126.0,128.0,4.63,1.28,0.57,38.0,945,35.0,8.2,79.6,129.0,6.9,305.0,452.0,0.1015,191.0,225.0,,25.0,56.5,28.7,14.2,85.2,67.2,5600,1.21,95.3,6.9,57.2,1.44
31-05-2018,196.0,137.2,14.78,118.9,386.0,146.0,138.0,160.6,196.5,65.2,161.0,61.0,226.0,13.66,407.0,251.05,107.0,656.0,48.85,1420,0.903,2.565,96.1,166.0,,0.24,62.5,302.0,,8.6,7.6,,3.15,0.39399999999999996,8.0,645,39.6,0.43,43.4,1.75,2.5,4.43,,230.0,1.72,246.0,86.0,54.0,358.0,90.0,612.0,130.0,73.5,620,910,462,91.4,103.2,60.5,,2720,2580,490.0,332.0,422.0,284.0,126.0,142.0,4.76,1.4,0.58,38.3,945,35.6,9.46,74.6,128.0,6.88,314.0,440.0,0.114,181.2,228.0,,25.8,56.0,31.2,14.1,89.0,67.2,6000,1.29,94.5,6.8,60.8,1.6
30-04-2018,169.45,152.8,15.52,113.1,365.0,155.0,144.0,162.4,204.0,71.2,171.4,60.9,231.5,15.34,398.0,240.0,108.5,642.0,49.4,1385,0.973,2.55,93.2,172.5,,0.228,63.5,318.0,,8.68,7.3,,3.11,0.418,8.0,610,42.4,0.42100000000000004,39.2,1.75,2.5,4.15,,249.0,1.45,250.0,87.5,51.5,352.0,91.0,586.0,132.0,68.5,620,910,436,84.6,109.8666,60.0,,2580,2600,488.0,345.0,418.0,292.0,128.0,146.0,3.82,1.48,0.59,41.8,980,36.6,10.0,77.2,122.0,7.24,309.0,410.0,0.115,163.6,235.0,,26.8,58.0,33.6,13.7,98.6,67.6,6100,1.3,102.2,7.07,62.4,1.475
30-03-2018,188.5,152.6,14.3,108.3,358.0,162.0,148.0,140.4,208.0,65.4,173.0,69.2,226.5,14.02,399.0,218.0,107.25,660.0,44.6,1340,0.938,2.67,93.1,191.5,,0.221,60.0,345.0,,8.96,7.65,,3.21,0.518,7.15,705,36.9,0.42,32.5,1.7,2.7,4.44,,235.0,1.46,260.0,90.0,52.0,344.0,92.0,532.0,138.0,73.0,624,910,450,88.4,110.0341,60.5,,2860,2720,474.0,348.0,424.0,300.0,145.0,159.5,4.5,1.69,0.595,41.9,1000,39.0,10.62,75.6,123.0,7.18,307.0,424.0,0.128,162.0,232.0,,28.2,75.0,36.4,14.5,94.0,64.8,6250,1.28,102.2,6.9,65.8,1.745
28-02-2018,246.7,175.8,14.96,117.6,339.0,170.0,165.0,139.2,212.0,67.8,181.4,72.5,218.5,15.76,408.5,209.0,110.7257,616.0,45.5,1300,0.86,2.74,94.7,194.0,,0.217,62.0,365.0,,9.2,7.9,,3.47,0.518,8.9,700,38.2,0.42,33.5,1.68,2.68,4.28,,233.0,1.39,266.0,90.5,48.6,348.0,88.0,516.0,142.0,70.0,636,910,436,87.8,127.9544,63.0,,2640,2620,482.0,322.0,428.0,270.0,163.2833,163.0,4.84,1.73,0.58,44.0,960,38.0,11.8,69.2,126.0,5.98,341.0,428.0,0.1235,157.4,223.0,,26.2,75.0,42.5,14.3,90.2,66.8,6300,1.25,105.0,6.92,66.0,1.275
31-01-2018,231.2,161.0,15.14,119.4,338.0,177.0,171.0,141.8,216.0,75.2,184.0,77.2,206.0,14.58,395.0,216.0,111.2223,628.0,48.75,1295,0.8759999999999999,2.77,101.6,195.5,,0.19699999999999998,59.5,393.0,,8.74,8.4,,3.6,0.475,9.4,700,38.2,0.43,33.2,1.71,2.7,4.51,,245.0,1.43,264.0,95.0,50.5,350.0,88.5,498.0,146.0,63.0,660,1000,456,91.2,122.0926,61.5,,2540,2540,466.0,352.0,430.0,264.0,164.8999,173.0,4.42,1.94,0.56,41.1,935,37.0,13.42,73.0,125.0,5.54,348.0,440.0,0.145,158.4,221.0,,25.6,74.5,45.4,13.9,97.0,74.0,6100,1.25,101.2,7.12,69.0,1.395
29-12-2017,224.3,149.5,14.8,116.5,320.0,173.5,172.0,145.5,218.0,78.5,171.5,76.0,195.5,16.2,408.0,219.0,113.7049,590.0,53.5,1299,0.86,2.72,85.0,195.0,,0.193,58.0,400.5,,8.5,7.95,,3.31,0.5,9.4,690,41.3,0.43,26.3,1.8,2.38,4.8,,247.0,1.25,251.5,97.0,54.5,353.0,87.0,511.0,144.0,48.5,649,1000,440,92.5,121.4227,63.5,,2650,2575,484.5,341.5,415.0,269.5,165.7083,169.0,4.21,1.8,0.54,35.2,945,38.5,8.15,69.0,130.0,5.8,365.0,447.0,0.147,148.0,214.0,,26.5,74.5,44.5,13.5,91.0,73.5,6000,1.26,98.5,7.1,63.5,1.55
