X1,BAVA DC Equity,BO DC Equity,COLUM DC Equity,DNORD DC Equity,HART DC Equity,HOEJA DC Equity,HOEJB DC Equity,IC DC Equity,JUTBK DC Equity,MATAS DC Equity,NNIT DC Equity,ORPHA DC Equity,PAALB DC Equity,SAS DC Equity,SOLARB DC Equity,SPG DC Equity,SPKSJF DC Equity,TIV DC Equity,TRMDA DC Equity,UIE DC Equity,VELO DC Equity,VJBA DC Equity,ZEAL DC Equity,AAB DC Equity,ADMCAP B DC Equity,AGFB DC Equity,AMB DC Equity,AOJP DC Equity,ARKILB DC Equity,ATHENA DC Equity,ATLA DC Equity,BIF DC Equity,BIOPOR DC Equity,BLVISA DC Equity,BOLIGA DC Equity,BORDB DC Equity,CBRAIN DC Equity,CEMAT DC Equity,CHEMM DC Equity,CPHCAPPREF DC Equity,CPHCAPST DC Equity,DAB DC Equity,DANT DC Equity,DJUR DC Equity,DLH DC Equity,EGEB DC Equity,FED DC Equity,FFARMS DC Equity,FLUGB DC Equity,FYNBK DC Equity,GABR DC Equity,GERHSP DC Equity,GJ DC Equity,GRLA DC Equity,GYLDA DC Equity,GYLDB DC Equity,HARBB DC Equity,HH DC Equity,HVID DC Equity,IMAIL DC Equity,KLEEB DC Equity,KRE DC Equity,LASP DC Equity,LOLB DC Equity,LUXORB DC Equity,MIGAB DC Equity,MNBA DC Equity,MTB DC Equity,NEUR DC Equity,NEWCAP DC Equity,NORDIC DC Equity,NORTHM DC Equity,NRDF DC Equity,NTRB DC Equity,ONXEO DC Equity,PARKEN DC Equity,PRIMOF DC Equity,PSNRDCA DC Equity,RBLNB DC Equity,RIASB DC Equity,ROV DC Equity,RTX DC Equity,SALB DC Equity,SANI DC Equity,SBS DC Equity,SCD DC Equity,SFG DC Equity,SIF DC Equity,SKAKO DC Equity,SKJE DC Equity,SPEAS DC Equity,STRINV DC Equity,TCM DC Equity,TKDV DC Equity,TOTA DC Equity,VIPRO DC Equity
28-09-2018,682.3546,48.953,19.6395,16.9137,16.7501,79.5931,77.3447,35.7762,6.9484,8.647,18.5094,,14.1362,,51.6815,19.8844,5.6418,39.024,191.0539,10.4929,23.0363,8.0992,,3.6709,,,2.8824,8.8254,,11.8365,0.6158,,,,13.7913,28.182,1045.8346,,59.1251,,,13.9237,,7.5697,4.6301,14.8108,7.8512,43.0216,42.8695,7.1309,26.9753,33.5068,,11.5894,60.3493,12.9434,1331.2529,14.6055,8.1756,,11.4657,,7.8397,1.0646,25.3782,9.9805,7.1121,82.9479,5.0117,,4.5625,11.2815,5.3694,19.5622,,20.7266,5.2598,3.8706,78.071,16.219,,24.9444,15.774000000000001,,25.2265,52.2847,57.6007,5.6795,14.5272,4.1267,14.7703,48.6244,13.9879,27.2614,4.0777,
31-08-2018,682.3546,49.4808,19.4931,13.3945,17.3669,79.5931,77.3447,97.5099,7.4778,8.5296,18.2176,,14.8924,,62.5533,19.1216,6.0877,43.4416,191.0539,10.6249,23.0363,8.2542,,3.6709,,,2.8824,8.7243,,12.3871,0.6158,,,,13.8891,29.5347,1043.0751,,73.4981,,,9.3397,,6.7825,4.9585,14.4405,7.8972,46.2891,44.745,7.1187,25.6443,33.5184,,12.3771,60.3493,12.9434,1434.1677,15.75,8.1039,,10.8288,,7.872999999999999,1.0485,25.0208,9.7033,6.4162,82.9479,5.0117,,4.5625,11.1248,4.7226,19.6703,,14.2065,5.6355,3.9412,77.2067,16.219,,25.6111,11.7756,,30.4201,52.2847,57.6007,5.8029,14.5272,3.9423,14.7703,49.8712,,27.2614,2.9579,
31-07-2018,682.3546,84.4126,17.2395,16.3524,17.6042,79.5931,77.3447,93.1084,7.5143,6.954,19.1435,,13.2345,,61.4828,20.7673,6.1486,42.4224,191.0539,10.6567,23.0363,8.758,,3.6709,,,2.8824,7.9909,,11.5722,0.6158,,,,13.9869,29.0838,1084.4669999999999,,63.2083,,,10.2221,,6.452999999999999,4.9256,14.4405,7.9431,45.3815,50.9075,6.9639,26.2654,35.0941,,12.5427,50.6934,13.425,1513.8437,12.1173,7.9605,,10.9084,,8.0065,1.0356,25.3782,9.4261,6.4675,82.9479,5.0117,,4.5625,11.9083,5.0734,17.833,,13.5135,5.4686,4.1059,81.8161,17.084,,27.2222,11.7244,,31.6567,52.2847,57.6007,5.6795,14.5272,4.0683,14.7703,47.3776,,27.2614,2.2944,
29-06-2018,682.3546,75.6765,17.1494,15.7192,17.7465,79.5931,77.3447,90.3998,7.2954,7.0355,18.3796,,13.1181,,60.871,21.389,6.2399,42.0403,191.0539,10.8165,23.0363,9.3006,,3.6709,,,2.8824,6.8783,,13.4882,0.6158,,,,15.6497,55.9521,1062.3913,,49.8154,,,10.7614,,6.4804,4.9749,14.0702,7.8972,46.7429,31.0676,6.8865,26.6203,10.682,,12.4599,28.2949,13.3648,1420.8884,12.5652,8.1756,,10.6695,,8.0822,1.0517,37.3442,9.7726,6.4675,82.9479,5.0117,,4.5625,11.9083,5.1004,25.0,,12.537,5.3851,4.0588,34.9927,16.2911,,26.5278,11.5196,,30.9148,52.2847,57.6007,5.8441,14.5272,4.232,14.7703,50.2868,,27.2614,2.6354,
31-05-2018,730.8279,74.9121,15.9944,18.1237,19.4812,79.5931,77.3447,91.6275,6.2655,8.7486,19.421,,14.081,,76.6707,21.0983,5.3985,43.9905,191.0539,9.3034,23.0363,9.1115,,4.0898,,,2.6493,7.0279,,13.0753,0.6158,,,,6.986000000000001,55.9521,117.0424,,57.4966,,,7.9584,,6.313,15.0179,15.181,7.8972,94.4434,30.3886,7.0206,29.4351,11.1149,,12.7394,27.3918,13.9066,1517.1635,17.4633,8.0893,,10.8288,,8.1824,1.2482,38.0658,14.8255,5.6699,82.9479,5.0117,,4.5625,25.2694,4.794,25.4286,,9.468,5.5883,4.0471,36.0253,15.8586,,23.2308,10.5457,,31.904,51.3674,62.2559,9.9488,14.5272,3.6952,14.7703,91.7366,,27.2614,3.0355,
30-04-2018,631.8305,,16.7952,17.8553,18.4214,79.5931,77.3447,92.6545,6.5046,9.5537,20.6755,,14.4237,,74.9752,20.1697,5.4742,43.0517,191.0539,9.3981,23.0363,9.0582,,4.2499,,,2.6917,7.4003,,13.1826,0.6158,,,,6.986000000000001,52.9159,125.3181,,51.9324,,,7.4554,,6.8345,12.6604,15.4279,8.0349,90.071,29.8793,7.0987,28.1845,11.2859,,12.7394,27.3918,13.124,1404.2892,18.5914,8.0224,,10.2714,,8.149,1.2971,37.705,15.2431,5.7599,82.9479,5.0117,,4.5625,27.5786,4.9716,26.1429,,9.798,5.3263,4.2588,35.4517,14.7773,,20.9744,10.8694,,33.1406,53.2019,66.9716,9.6665,14.5272,3.7172,14.7703,92.4477,,27.2614,3.1154,
30-03-2018,702.8625,,15.475,17.4425,18.0681,79.5931,77.3447,80.1028,6.6321,8.7754,20.8685,,14.1122,,75.1636,18.3208,5.4111,44.2588,191.0539,9.2763,23.0363,9.4845,,4.718,,,2.5433,8.0286,,13.6069,0.6158,,,,6.986000000000001,101.4657,109.0622,,43.0562,,,7.9764,,6.4503,12.7478,17.3847,8.2645,90.9455,23.2709,7.1767,25.5873,11.7927,,12.8216,27.3918,13.5454,30.2139,18.6197,8.0893,,12.892000000000001,,7.9152,1.3084,32.1212,15.6608,6.5248,82.9479,5.0117,,4.5625,27.6445,5.073,33.1346,,9.5949,5.3976,4.2236,24.840999999999998,15.2819,,20.7692,10.7307,,34.8719,68.7956,72.5478,10.231,14.5272,3.5633,15.1335,91.0255,,27.2614,3.2851,
28-02-2018,42.7691,,18.7038,32.7536,19.2138,79.5931,77.3447,85.4442,7.0798,8.4751,20.7789,,15.8334,,39.2417,17.6743,5.6982,44.9232,192.15400000000002,10.8898,23.0363,11.8053,,4.7796,,,2.6281,8.494,,13.9815,0.6158,,,,6.986000000000001,100.7461,112.9045,,44.381,,,8.6929,,6.4144,12.1366,17.7859,8.3104,75.7279,23.5415,8.9315,24.5165,6.2522,,12.6569,27.3918,13.124,30.0088,17.6977,9.0485,,11.9003,,7.6337,1.1337,32.4242,14.0947,8.255,82.9479,5.0117,,4.5625,29.0301,5.9283,32.285,,10.7671,5.5293,3.5177,27.5921,15.7787,,24.2154,8.2208,,32.3987,21.668000000000003,19.5469,10.0899,14.5272,5.4803,15.2545,16.8778,,27.2614,3.4883,
31-01-2018,40.0819,,18.9289,33.8358,19.1571,79.5931,77.3447,87.0401,7.2134,9.4001,21.0767,,14.9276,,37.9448,18.2663,5.7237,45.7983,209.4752,11.0374,23.0363,11.9345,,4.8166,,,2.5221,9.1456,,13.2902,0.6158,,,,6.986000000000001,100.7461,112.9045,,43.9836,,,9.1601,,6.7448,12.4858,17.6522,8.7236,78.6885,23.6768,8.9822,23.6612,6.4305,,13.1345,30.1009,13.725999999999999,31.1709,16.8869,8.8331,,11.4495,,7.3803,1.2393,32.5758,13.7815,8.3367,82.9479,5.0117,,4.5625,27.1167,5.7739,31.4354,,11.3584,5.4854,3.2588,28.1585,16.2211,,24.3692,8.147,,31.6567,21.5236,20.8929,9.8076,14.5272,6.071000000000001,14.7703,16.8778,,27.2614,3.6469,
29-12-2017,38.8857,,18.5038,31.96,18.1369,79.5931,77.3447,89.3113,7.2802,9.8126,19.6449,,14.1667,,39.1936,18.52,5.8515,43.0271,222.546,10.718,23.0363,11.7191,,4.8043,,,2.4585,9.3201,,12.9216,0.6158,,,,6.986000000000001,99.3069,122.0669,,34.8424,,,9.7491,,6.7998,10.9142,16.8164,8.9073,84.9213,23.9117,8.83,24.2789,4.3366,,12.9156,22.6144,13.2444,31.6152,16.7943,9.1204,,11.9454,,7.6732,1.2023,31.4394,14.0686,8.3776,82.9479,5.0117,,4.5625,23.2241,5.8356,32.7098,,10.735999999999999,5.7048,3.4118,39.5579,16.4791,,22.7692,7.888999999999999,,32.7697,21.5236,20.473,9.5254,14.5272,6.03,5.8311,17.0128,,26.0857,3.3562,
